,name,hp,attack,defense,special_attack,special_defense,speed,total
31,Nidoqueen,90.0,82.0,87.0,75.0,85.0,76.0,495.0
32,Nidoran♂,46.0,57.0,40.0,40.0,40.0,50.0,273.0
33,Nidorino,61.0,72.0,57.0,55.0,55.0,65.0,365.0
34,Nidoking,81.0,92.0,77.0,85.0,75.0,85.0,495.0
35,Clefairy,70.0,45.0,48.0,60.0,65.0,35.0,323.0
36,Clefable,95.0,70.0,73.0,85.0,90.0,60.0,473.0
37,Vulpix,38.0,41.0,40.0,50.0,65.0,65.0,299.0
38,Ninetales,73.0,76.0,75.0,81.0,100.0,100.0,505.0
39,Jigglypuff,115.0,45.0,20.0,45.0,25.0,20.0,270.0
40,Wigglytuff,140.0,70.0,45.0,75.0,50.0,45.0,425.0
41,Zubat,40.0,45.0,35.0,30.0,40.0,55.0,245.0
42,Golbat,75.0,80.0,70.0,65.0,75.0,90.0,455.0
43,Oddish,45.0,50.0,55.0,75.0,65.0,30.0,320.0
44,Gloom,60.0,65.0,70.0,85.0,75.0,40.0,395.0
45,Vileplume,75.0,80.0,85.0,100.0,90.0,50.0,480.0
46,Paras,35.0,70.0,55.0,45.0,55.0,25.0,285.0
47,Parasect,60.0,95.0,80.0,60.0,80.0,30.0,405.0
48,Venonat,60.0,55.0,50.0,40.0,55.0,45.0,305.0
49,Venomoth,70.0,65.0,60.0,90.0,75.0,90.0,450.0
50,Diglett,10.0,55.0,25.0,35.0,45.0,95.0,265.0
51,Dugtrio,35.0,80.0,50.0,50.0,70.0,120.0,405.0
52,Meowth,40.0,45.0,35.0,40.0,40.0,90.0,290.0
53,Persian,65.0,70.0,60.0,65.0,65.0,115.0,440.0
54,Psyduck,50.0,52.0,48.0,65.0,50.0,55.0,320.0
55,Golduck,80.0,82.0,78.0,95.0,80.0,85.0,500.0
56,Mankey,40.0,80.0,35.0,35.0,45.0,70.0,305.0
57,Primeape,65.0,105.0,60.0,60.0,70.0,95.0,455.0
58,Growlithe,55.0,70.0,45.0,70.0,50.0,60.0,350.0
59,Arcanine,90.0,110.0,80.0,100.0,80.0,95.0,555.0
60,Poliwag,40.0,50.0,40.0,40.0,40.0,90.0,300.0
61,Poliwhirl,65.0,65.0,65.0,50.0,50.0,90.0,385.0
62,Poliwrath,90.0,85.0,95.0,70.0,90.0,70.0,500.0
63,Abra,25.0,20.0,15.0,105.0,55.0,90.0,310.0
64,Kadabra,40.0,35.0,30.0,120.0,70.0,105.0,400.0
65,Alakazam,55.0,50.0,45.0,135.0,85.0,120.0,490.0
66,Machop,70.0,80.0,50.0,35.0,35.0,35.0,305.0
67,Machoke,80.0,100.0,70.0,50.0,60.0,45.0,405.0
68,Machamp,90.0,130.0,80.0,65.0,85.0,55.0,505.0
69,Bellsprout,50.0,75.0,35.0,70.0,30.0,40.0,300.0
70,Weepinbell,65.0,90.0,50.0,85.0,45.0,55.0,390.0
71,Victreebel,80.0,105.0,65.0,100.0,60.0,70.0,480.0
72,Tentacool,40.0,40.0,35.0,50.0,100.0,70.0,335.0
73,Tentacruel,80.0,70.0,65.0,80.0,120.0,100.0,515.0
74,Geodude,40.0,80.0,100.0,30.0,30.0,20.0,300.0
75,Graveler,55.0,95.0,115.0,45.0,45.0,35.0,390.0
76,Golem,80.0,110.0,130.0,55.0,65.0,45.0,485.0
77,Ponyta,50.0,85.0,55.0,65.0,65.0,90.0,410.0
78,Rapidash,65.0,100.0,70.0,80.0,80.0,105.0,500.0
79,Slowpoke,90.0,65.0,65.0,40.0,40.0,15.0,315.0
80,Slowbro,95.0,75.0,110.0,100.0,80.0,30.0,490.0
81,Magnemite,25.0,35.0,70.0,95.0,55.0,45.0,325.0
82,Magneton,50.0,60.0,95.0,120.0,70.0,70.0,465.0
83,Farfetch'd,52.0,65.0,55.0,58.0,62.0,60.0,352.0
84,Doduo,35.0,85.0,45.0,35.0,35.0,75.0,310.0
85,Dodrio,60.0,110.0,70.0,60.0,60.0,100.0,460.0
86,Seel,65.0,45.0,55.0,45.0,70.0,45.0,325.0
87,Dewgong,90.0,70.0,80.0,70.0,95.0,70.0,475.0
88,Grimer,80.0,80.0,50.0,40.0,50.0,25.0,325.0
89,Muk,105.0,105.0,75.0,65.0,100.0,50.0,500.0
90,Shellder,30.0,65.0,100.0,45.0,25.0,40.0,305.0
91,Cloyster,50.0,95.0,180.0,85.0,45.0,70.0,525.0
92,Gastly,30.0,35.0,30.0,100.0,35.0,80.0,310.0
93,Haunter,45.0,50.0,45.0,115.0,55.0,95.0,405.0
94,Gengar,60.0,65.0,60.0,130.0,75.0,110.0,500.0
95,Onix,35.0,45.0,160.0,30.0,45.0,70.0,385.0
96,Drowzee,60.0,48.0,45.0,43.0,90.0,42.0,328.0
97,Hypno,85.0,73.0,70.0,73.0,115.0,67.0,483.0
98,Krabby,30.0,105.0,90.0,25.0,25.0,50.0,325.0
99,Kingler,55.0,130.0,115.0,50.0,50.0,75.0,475.0
100,Voltorb,40.0,30.0,50.0,55.0,55.0,100.0,330.0
101,Electrode,60.0,50.0,70.0,80.0,80.0,140.0,480.0
102,Exeggcute,60.0,40.0,80.0,60.0,45.0,40.0,325.0
103,Exeggutor,95.0,95.0,85.0,125.0,65.0,55.0,520.0
104,Cubone,50.0,50.0,95.0,40.0,50.0,35.0,320.0
105,Marowak,60.0,80.0,110.0,50.0,80.0,45.0,425.0
106,Hitmonlee,50.0,120.0,53.0,35.0,110.0,87.0,455.0
107,Hitmonchan,50.0,105.0,79.0,35.0,110.0,76.0,455.0
108,Lickitung,90.0,55.0,75.0,60.0,75.0,30.0,385.0
109,Koffing,40.0,65.0,95.0,60.0,45.0,35.0,340.0
110,Weezing,65.0,90.0,120.0,85.0,70.0,60.0,490.0
111,Rhyhorn,80.0,85.0,95.0,30.0,30.0,25.0,345.0
112,Rhydon,105.0,130.0,120.0,45.0,45.0,40.0,485.0
113,Chansey,250.0,5.0,5.0,35.0,105.0,50.0,450.0
114,Tangela,65.0,55.0,115.0,100.0,40.0,60.0,435.0
115,Kangaskhan,105.0,95.0,80.0,40.0,80.0,90.0,490.0
116,Horsea,30.0,40.0,70.0,70.0,25.0,60.0,295.0
117,Seadra,55.0,65.0,95.0,95.0,45.0,85.0,440.0
118,Goldeen,45.0,67.0,60.0,35.0,50.0,63.0,320.0
119,Seaking,80.0,92.0,65.0,65.0,80.0,68.0,450.0
120,Staryu,30.0,45.0,55.0,70.0,55.0,85.0,340.0
121,Starmie,60.0,75.0,85.0,100.0,85.0,115.0,520.0
122,Mr._Mime,40.0,45.0,65.0,100.0,120.0,90.0,460.0
123,Scyther,70.0,110.0,80.0,55.0,80.0,105.0,500.0
124,Jynx,65.0,50.0,35.0,115.0,95.0,95.0,455.0
125,Electabuzz,65.0,83.0,57.0,95.0,85.0,105.0,490.0
126,Magmar,65.0,95.0,57.0,100.0,85.0,93.0,495.0
127,Pinsir,65.0,125.0,100.0,55.0,70.0,85.0,500.0
128,Tauros,75.0,100.0,95.0,40.0,70.0,110.0,490.0
129,Magikarp,20.0,10.0,55.0,15.0,20.0,80.0,200.0
130,Gyarados,95.0,125.0,79.0,60.0,100.0,81.0,540.0
131,Lapras,130.0,85.0,80.0,85.0,95.0,60.0,535.0
132,Ditto,48.0,48.0,48.0,48.0,48.0,48.0,288.0
133,Eevee,55.0,55.0,50.0,45.0,65.0,55.0,325.0
134,Vaporeon,130.0,65.0,60.0,110.0,95.0,65.0,525.0
135,Jolteon,65.0,65.0,60.0,110.0,95.0,130.0,525.0
136,Flareon,65.0,130.0,60.0,95.0,110.0,65.0,525.0
137,Porygon,65.0,60.0,70.0,85.0,75.0,40.0,395.0
138,Omanyte,35.0,40.0,100.0,90.0,55.0,35.0,355.0
139,Omastar,70.0,60.0,125.0,115.0,70.0,55.0,495.0
140,Kabuto,30.0,80.0,90.0,55.0,45.0,55.0,355.0
141,Kabutops,60.0,115.0,105.0,65.0,70.0,80.0,495.0
142,Aerodactyl,80.0,105.0,65.0,60.0,75.0,130.0,515.0
143,Snorlax,160.0,110.0,65.0,65.0,110.0,30.0,540.0
144,Articuno,90.0,85.0,100.0,95.0,125.0,85.0,580.0
145,Zapdos,90.0,90.0,85.0,125.0,90.0,100.0,580.0
146,Moltres,90.0,100.0,90.0,125.0,85.0,90.0,580.0
147,Dratini,41.0,64.0,45.0,50.0,50.0,50.0,300.0
148,Dragonair,61.0,84.0,65.0,70.0,70.0,70.0,420.0
149,Dragonite,91.0,134.0,95.0,100.0,100.0,80.0,600.0
150,Mewtwo,106.0,110.0,90.0,154.0,90.0,130.0,680.0
151,Mew,100.0,100.0,100.0,100.0,100.0,100.0,600.0
152,Chikorita,45.0,49.0,65.0,49.0,65.0,45.0,318.0
153,Bayleef,60.0,62.0,80.0,63.0,80.0,60.0,405.0
154,Meganium,80.0,82.0,100.0,83.0,100.0,80.0,525.0
155,Cyndaquil,39.0,52.0,43.0,60.0,50.0,65.0,309.0
156,Quilava,58.0,64.0,58.0,80.0,65.0,80.0,405.0
157,Typhlosion,78.0,84.0,78.0,109.0,85.0,100.0,534.0
158,Totodile,50.0,65.0,64.0,44.0,48.0,43.0,314.0
159,Croconaw,65.0,80.0,80.0,59.0,63.0,58.0,405.0
160,Feraligatr,85.0,105.0,100.0,79.0,83.0,78.0,530.0
161,Sentret,35.0,46.0,34.0,35.0,45.0,20.0,215.0
162,Furret,85.0,76.0,64.0,45.0,55.0,90.0,415.0
163,Hoothoot,60.0,30.0,30.0,36.0,56.0,50.0,262.0
164,Noctowl,100.0,50.0,50.0,76.0,96.0,70.0,442.0
165,Ledyba,40.0,20.0,30.0,40.0,80.0,55.0,265.0
166,Ledian,55.0,35.0,50.0,55.0,110.0,85.0,390.0
167,Spinarak,40.0,60.0,40.0,40.0,40.0,30.0,250.0
168,Ariados,70.0,90.0,70.0,60.0,60.0,40.0,390.0
169,Crobat,85.0,90.0,80.0,70.0,80.0,130.0,535.0
170,Chinchou,75.0,38.0,38.0,56.0,56.0,67.0,330.0
171,Lanturn,125.0,58.0,58.0,76.0,76.0,67.0,460.0
172,Pichu,20.0,40.0,15.0,35.0,35.0,60.0,205.0
173,Cleffa,50.0,25.0,28.0,45.0,55.0,15.0,218.0
174,Igglybuff,90.0,30.0,15.0,40.0,20.0,15.0,210.0
175,Togepi,35.0,20.0,65.0,40.0,65.0,20.0,245.0
176,Togetic,55.0,40.0,85.0,80.0,105.0,40.0,405.0
177,Natu,40.0,50.0,45.0,70.0,45.0,70.0,320.0
178,Xatu,65.0,75.0,70.0,95.0,70.0,95.0,470.0
179,Mareep,55.0,40.0,40.0,65.0,45.0,35.0,280.0
180,Flaaffy,70.0,55.0,55.0,80.0,60.0,45.0,365.0
181,Ampharos,90.0,75.0,75.0,115.0,90.0,55.0,500.0
182,Bellossom,75.0,80.0,85.0,90.0,100.0,50.0,480.0
183,Marill,70.0,20.0,50.0,20.0,50.0,40.0,250.0
184,Azumarill,100.0,50.0,80.0,50.0,80.0,50.0,410.0
185,Sudowoodo,70.0,100.0,115.0,30.0,65.0,30.0,410.0
186,Politoed,90.0,75.0,75.0,90.0,100.0,70.0,500.0
187,Hoppip,35.0,35.0,40.0,35.0,55.0,50.0,250.0
188,Skiploom,55.0,45.0,50.0,45.0,65.0,80.0,340.0
189,Jumpluff,75.0,55.0,70.0,55.0,85.0,110.0,450.0
190,Aipom,55.0,70.0,55.0,40.0,55.0,85.0,360.0
191,Sunkern,30.0,30.0,30.0,30.0,30.0,30.0,180.0
192,Sunflora,75.0,75.0,55.0,105.0,85.0,30.0,425.0
193,Yanma,65.0,65.0,45.0,75.0,45.0,95.0,390.0
194,Wooper,55.0,45.0,45.0,25.0,25.0,15.0,210.0
195,Quagsire,95.0,85.0,85.0,65.0,65.0,35.0,430.0
196,Espeon,65.0,65.0,60.0,130.0,95.0,110.0,525.0
197,Umbreon,95.0,65.0,110.0,60.0,130.0,65.0,525.0
198,Murkrow,60.0,85.0,42.0,85.0,42.0,91.0,405.0
199,Slowking,95.0,75.0,80.0,100.0,110.0,30.0,490.0
200,Misdreavus,60.0,60.0,60.0,85.0,85.0,85.0,435.0
201,Unknown,48.0,72.0,48.0,72.0,48.0,48.0,336.0
202,Wobbuffet,190.0,33.0,58.0,33.0,58.0,33.0,405.0
203,Girafarig,70.0,80.0,65.0,90.0,65.0,85.0,455.0
204,Pineco,50.0,65.0,90.0,35.0,35.0,15.0,290.0
205,Forretress,75.0,90.0,140.0,60.0,60.0,40.0,465.0
206,Dunsparce,100.0,70.0,70.0,65.0,65.0,45.0,415.0
207,Gligar,65.0,75.0,105.0,35.0,65.0,85.0,430.0
208,Steelix,75.0,85.0,200.0,55.0,65.0,30.0,510.0
209,Snubbull,60.0,80.0,50.0,40.0,40.0,30.0,300.0
210,Granbull,90.0,120.0,75.0,60.0,60.0,45.0,450.0
211,Qwilfish,65.0,95.0,75.0,55.0,55.0,85.0,430.0
212,Scizor,70.0,130.0,100.0,55.0,80.0,65.0,500.0
213,Shuckle,20.0,10.0,230.0,10.0,230.0,5.0,505.0
214,Heracross,80.0,125.0,75.0,40.0,95.0,85.0,500.0
215,Sneasel,55.0,95.0,55.0,35.0,75.0,115.0,430.0
216,Teddiursa,60.0,80.0,50.0,50.0,50.0,40.0,330.0
217,Ursaring,90.0,130.0,75.0,75.0,75.0,55.0,500.0
218,Slugma,40.0,40.0,40.0,70.0,40.0,20.0,250.0
219,Magcargo,50.0,50.0,120.0,80.0,80.0,30.0,410.0
220,Swinub,50.0,50.0,40.0,30.0,30.0,50.0,250.0
221,Piloswine,100.0,100.0,80.0,60.0,60.0,50.0,450.0
222,Corsola,55.0,55.0,85.0,65.0,85.0,35.0,380.0
223,Remoraid,35.0,65.0,35.0,65.0,35.0,65.0,300.0
224,Octillery,75.0,105.0,75.0,105.0,75.0,45.0,480.0
225,Delibird,45.0,55.0,45.0,65.0,45.0,75.0,330.0
226,Mantine,65.0,40.0,70.0,80.0,140.0,70.0,465.0
227,Skarmory,65.0,80.0,140.0,40.0,70.0,70.0,465.0
228,Houndour,45.0,60.0,30.0,80.0,50.0,65.0,330.0
229,Houndoom,75.0,90.0,50.0,110.0,80.0,95.0,500.0
230,Kingdra,75.0,95.0,95.0,95.0,95.0,85.0,540.0
231,Phanpy,90.0,60.0,60.0,40.0,40.0,40.0,330.0
232,Donphan,90.0,120.0,120.0,60.0,60.0,50.0,500.0
233,Porygon2,85.0,80.0,90.0,105.0,95.0,60.0,515.0
234,Stantler,73.0,95.0,62.0,85.0,65.0,85.0,465.0
235,Smeargle,55.0,20.0,35.0,20.0,45.0,75.0,250.0
236,Tyrogue,35.0,35.0,35.0,35.0,35.0,35.0,210.0
237,Hitmontop,50.0,95.0,95.0,35.0,110.0,70.0,455.0
238,Smoochum,45.0,30.0,15.0,85.0,65.0,65.0,305.0
239,Elekid,45.0,63.0,37.0,65.0,55.0,95.0,360.0
240,Magby,45.0,75.0,37.0,70.0,55.0,83.0,365.0
241,Miltank,95.0,80.0,105.0,40.0,70.0,100.0,490.0
242,Blissey,255.0,10.0,10.0,75.0,135.0,55.0,540.0
243,Raikou,90.0,85.0,75.0,115.0,100.0,115.0,580.0
244,Entei,115.0,115.0,85.0,90.0,75.0,100.0,580.0
245,Suicune,100.0,75.0,115.0,90.0,115.0,85.0,580.0
246,Larvitar,50.0,64.0,50.0,45.0,50.0,41.0,300.0
247,Pupitar,70.0,84.0,70.0,65.0,70.0,51.0,410.0
248,Tyranitar,100.0,134.0,110.0,95.0,100.0,61.0,600.0
249,Lugia,106.0,90.0,130.0,90.0,154.0,110.0,680.0
250,Ho-Oh,106.0,130.0,90.0,110.0,154.0,90.0,680.0
251,Celebi,100.0,100.0,100.0,100.0,100.0,100.0,600.0
252,Treecko,40.0,45.0,35.0,65.0,55.0,70.0,310.0
253,Grovyle,50.0,65.0,45.0,85.0,65.0,95.0,405.0
254,Sceptile,70.0,85.0,65.0,105.0,85.0,120.0,530.0
255,Torchic,45.0,60.0,40.0,70.0,50.0,45.0,310.0
256,Combusken,60.0,85.0,60.0,85.0,60.0,55.0,405.0
257,Blaziken,80.0,120.0,70.0,110.0,70.0,80.0,530.0
258,Mudkip,50.0,70.0,50.0,50.0,50.0,40.0,310.0
259,Marshtomp,70.0,85.0,70.0,60.0,70.0,50.0,405.0
260,Swampert,100.0,110.0,90.0,85.0,90.0,60.0,535.0
261,Poochyena,35.0,55.0,35.0,30.0,30.0,35.0,220.0
262,Mightyena,70.0,90.0,70.0,60.0,60.0,70.0,420.0
263,Zigzagoon,38.0,30.0,41.0,30.0,41.0,60.0,240.0
264,Linoone,78.0,70.0,61.0,50.0,61.0,100.0,420.0
265,Wurmple,45.0,45.0,35.0,20.0,30.0,20.0,195.0
266,Silcoon,50.0,35.0,55.0,25.0,25.0,15.0,205.0
267,Beautifly,60.0,70.0,50.0,90.0,50.0,65.0,385.0
268,Cascoon,50.0,35.0,55.0,25.0,25.0,15.0,205.0
269,Dustox,60.0,50.0,70.0,50.0,90.0,65.0,385.0
270,Lotad,40.0,30.0,30.0,40.0,50.0,30.0,220.0
271,Lombre,60.0,50.0,50.0,60.0,70.0,50.0,340.0
272,Ludicolo,80.0,70.0,70.0,90.0,100.0,70.0,480.0
273,Seedot,40.0,40.0,50.0,30.0,30.0,30.0,220.0
274,Nuzleaf,70.0,70.0,40.0,60.0,40.0,60.0,340.0
275,Shiftry,90,100,60,90,60,80,480
276,Taillow,40,55,30,30,30,85,270
277,Swellow,60,85,60,50,50,125,430
278,Wingull,40,30,30,55,30,85,270
279,Pelipper,60,50,100,85,70,65,430
280,Ralts,28,25,25,45,35,40,198
281,Kirlia,38,35,35,65,55,50,278
282,Gardevoir,68,65,65,125,115,80,518
283,Surskit,40,30,32,50,52,65,269
284,Masquerain,70,60,62,80,82,60,414
285,Shroomish,60,40,60,40,60,35,295
286,Breloom,60,130,80,60,60,70,460
287,Slakoth,60,60,60,35,35,30,280
288,Vigoroth,80,80,80,55,55,90,440
289,Slaking,150,160,100,95,65,100,670
290,Nincada,31,45,90,30,30,40,266
291,Ninjask,61,90,45,50,50,160,456
292,Shedinja,1,90,45,30,30,40,236
293,Whismur,64,51,23,51,23,28,240
294,Loudred,84,71,43,71,43,48,360
295,Exploud,104,91,63,91,63,68,480
296,Makuhita,72,60,30,20,30,25,237
297,Hariyama,144,120,60,40,60,50,474
298,Azurill,50,20,40,20,40,20,190
299,Nosepass,30,45,135,45,90,30,375
300,Skitty,50,45,45,35,35,50,260
301,Delcatty,70,65,65,55,55,70,380
302,Sableye,50,75,75,65,65,50,380
303,Mawile,50,85,85,55,55,50,380
304,Aron,50,70,100,40,40,30,330
305,Lairon,60,90,140,50,50,40,430
306,Aggron,70,110,180,60,60,50,530
307,Meditite,30,40,55,40,55,60,280
308,Medicham,60,60,75,60,75,80,410
309,Electrike,40,45,40,65,40,65,295
310,Manectric,70,75,60,105,60,105,475
311,Plusle,60,50,40,85,75,95,405
312,Minun,60,40,50,75,85,95,405
313,Volbeat,65,73,55,47,75,85,400
314,Illumise,65,47,55,73,75,85,400
315,Roselia,50,60,45,100,80,65,400
316,Gulpin,70,43,53,43,53,40,302
317,Swalot,100,73,83,73,83,55,467
318,Carvanha,45,90,20,65,20,65,305
319,Sharpedo,70,120,40,95,40,95,460
320,Wailmer,130,70,35,70,35,60,400
321,Wailord,170,90,45,90,45,60,500
322,Numel,60,60,40,65,45,35,305
323,Camerupt,70,100,70,105,75,40,460
324,Torkoal,70,85,140,85,70,20,470
325,Spoink,60,25,35,70,80,60,330
326,Grumpig,80,45,65,90,110,80,470
327,Spinda,60,60,60,60,60,60,360
328,Trapinch,45,100,45,45,45,10,290
329,Vibrava,50,70,50,50,50,70,340
330,Flygon,80,100,80,80,80,100,520
331,Cacnea,50,85,40,85,40,35,335
332,Cacturne,70,115,60,115,60,55,475
333,Swablu,45,40,60,40,75,50,310
334,Altaria,75,70,90,70,105,80,490
335,Zangoose,73,115,60,60,60,90,458
336,Seviper,73,100,60,100,60,65,458
337,Lunatone,70,55,65,95,85,70,440
338,Solrock,70,95,85,55,65,70,440
339,Barboach,50,48,43,46,41,60,288
340,Whiscash,110,78,73,76,71,60,468
341,Corphish,43,80,65,50,35,35,308
342,Crawdaunt,63,120,85,90,55,55,468
343,Baltoy,40,40,55,40,70,55,300
344,Claydol,60,70,105,70,120,75,500
345,lileep,66,41,77,61,87,23,355
346,Cradily,86,81,97,81,107,43,495
347,Anorith,45,95,50,40,50,75,355
348,Armaldo,75,125,100,70,80,45,495
349,Feebas,20,15,20,10,55,80,200
350,Milotic,95,60,79,100,125,81,540
351,Castform,70,70,70,70,70,70,420
352,Kecleon,60,90,70,60,120,40,440
353,Shuppet,44,75,35,63,33,45,295
354,Banette,64,115,65,83,63,65,455
355,Duskull,20,40,90,30,90,25,295
356,Dusclops,40,70,130,60,130,25,455
357,Tropius,99,68,83,72,87,51,460
358,Chimecho,65,50,70,95,80,65,425
359,Absol,65,130,60,75,60,75,465
360,Wynaut,95,23,48,23,48,23,260
361,Snorunt,50,50,50,50,50,50,300
362,Glalie,80,80,80,80,80,80,480
363,Spheal,70,40,50,55,50,25,290
364,Sealeo,90,60,70,75,70,45,410
365,Walrein,110,80,90,95,90,65,530
366,Clamperl,35,64,85,74,55,32,345
367,Huntail,55,104,105,94,75,52,485
368,Gorebyss,55,84,105,114,75,52,485
369,Relicanth,100,90,130,45,65,55,485
370,Luvdisc,43,30,55,40,65,97,330
371,Bagon,45,75,60,40,30,50,300
372,Shelgon,65,95,100,60,50,50,420
373,Salamence,95,135,80,110,80,100,600
374,Beldum,40,55,80,35,60,30,300
375,Metang,60,75,100,55,80,50,420
376,Metagross,80,135,130,95,90,70,600
377,Regirock,80,100,200,50,100,50,580
378,Regice,80,50,100,100,200,50,580
379,Registeel,80,75,150,75,150,50,580
380,Latias,80,80,90,110,130,110,600
381,Latios,80,90,80,130,110,110,600
382,Kyogre,100,100,90,150,140,90,670
383,Groudon,100,150,140,100,90,90,670
384,Rayquaza,105,150,90,150,90,95,680
385,Jirachi,100,100,100,100,100,100,600
386,Deoxys,50,150,50,150,50,150,600
387,Turtwig,55,68,64,45,55,31,318
388,Grotle,75,89,85,55,65,36,405
389,Torterra,95,109,105,75,85,56,525
390,Chimchar,44,58,44,58,44,61,309
391,Monferno,64,78,52,78,52,81,405
392,Infernape,76,104,71,104,71,108,534
393,Piplup,53,51,53,61,56,40,314
394,Prinplup,64,66,68,81,76,50,405
395,Empoleon,84,86,88,111,101,60,530
396,Starly,40,55,30,30,30,60,245
397,Staravia,55,75,50,40,40,80,340
398,Staraptor,85,120,70,50,50,100,475
399,Bidoof,59,45,40,35,40,31,250
400,Bibarel,79,85,60,55,60,71,410
401,Kricketot,37,25,41,25,41,25,194
402,Kricketune,77,85,51,55,51,65,384
403,Shinx,45,65,34,40,34,45,263
404,Luxio,60,85,49,60,49,60,363
405,Luxray,80,120,79,95,79,70,523
406,Budew,40,30,35,50,70,55,280
407,Roserade,60,70,55,125,105,90,505
408,Cranidos,67,125,40,30,30,58,350
409,Rampardos,97,165,60,65,50,58,495
410,Shieldon,30,42,118,42,88,30,350
411,Bastiodon,60,52,168,47,138,30,495
412,Burmy,40,29,45,29,45,36,224
413,Wormadam,60,59,85,79,105,36,424
414,Mothim,70,94,50,94,50,66,424
415,Combee,30,30,42,30,42,70,244
416,Vespiquen,70,80,102,80,102,40,474
417,Pachirisu,60,45,70,45,90,95,405
418,Buizel,55,65,35,60,30,85,330
419,Floatzel,85,105,55,85,50,115,495
420,Cherubi,45,35,45,62,53,35,275
421,Cherrim,70,60,70,87,78,85,450
422,Shellos,76,48,48,57,62,34,325
423,Gastrodon,111,83,68,92,82,39,475
424,Ambipom,75,100,66,60,66,115,482
425,Drifloon,90,50,34,60,44,70,348
426,Drifblim,150,80,44,90,54,80,498
427,Buneary,55,66,44,44,56,85,350
428,Lopunny,65,76,84,54,96,105,480
429,Mismagius,60,60,60,105,105,105,495
430,Honchkrow,100,125,52,105,52,71,505
431,Glameow,49,55,42,42,37,85,310
432,Purugly,71,82,64,64,59,112,452
433,Chingling,45,30,50,65,50,45,285
434,Stunky,63,63,47,41,41,74,329
435,Skuntank,103,93,67,71,61,84,479
436,Bronzor,57,24,86,24,86,23,300
437,Bronzong,67,89,116,79,116,33,500
438,Bonsly,50,80,95,10,45,10,290
439,Mime_Jr.,20,25,45,70,90,60,310
440,Happiny,100,5,5,15,65,30,220
441,Chatot,76,65,45,92,42,91,411
442,Spiritomb,50,92,108,92,108,35,485
443,Gible,58,70,45,40,45,42,300
444,Gabite,68,90,65,50,55,82,410
445,Garchomp,108,130,95,80,85,102,600
446,Munchlax,135,85,40,40,85,5,390
447,Riolu,40,70,40,35,40,60,285
448,Lucario,70,110,70,115,70,90,525
449,Hippopotas,68,72,78,38,42,32,330
450,Hippowdon,108,112,118,68,72,47,525
451,Skorupi,40,50,90,30,55,65,330
452,Drapion,70,90,110,60,75,95,500
453,Croagunk,48,61,40,61,40,50,300
454,Toxicroak,83,106,65,86,65,85,490
455,Carnivine,74,100,72,90,72,46,454
456,Finneon,49,49,56,49,61,66,330
457,Lumineon,69,69,76,69,86,91,460
458,Mantyke,45,20,50,60,120,50,345
459,Snover,60,62,50,62,60,40,334
460,Abomasnow,90,92,75,92,85,60,494
461,Weavile,70,120,65,45,85,125,510
462,Magnezone,70,70,115,130,90,60,535
463,Lickilicky,110,85,95,80,95,50,515
464,Rhyperior,115,140,130,55,55,40,535
465,Tangrowth,100,100,125,110,50,50,535
466,Electivire,75,123,67,95,85,95,540
