,name,moves
124,Bulbasaur,Sludge Bomb
125,Bulbasaur,Mega Drain
126,Ivysaur,Tackle
127,Ivysaur,Growl
128,Ivysaur,Leech Seed
129,Ivysaur,Growl
130,Ivysaur,Leech Seed
131,Ivysaur,Vine Whip
132,Ivysaur,Poison Powder
133,Ivysaur,Sleep Powder
134,Ivysaur,Take Down
135,Ivysaur,Razor Leaf
136,Ivysaur,Sweet Scent
137,Ivysaur,Growth
138,Ivysaur,Double-Edge
139,Ivysaur,Worry Seed
140,Ivysaur,Synthesis
141,Ivysaur,Solar Beam
142,Ivysaur,Work Up
143,Ivysaur,Toxic
144,Ivysaur,Venoshock
145,Ivysaur,Hidden Power
146,Ivysaur,Sunny Day
147,Ivysaur,Light Screen
148,Ivysaur,Protect
149,Ivysaur,Safeguard
150,Ivysaur,Frustration
151,Ivysaur,Solar Beam
152,Ivysaur,Return
153,Ivysaur,Double Team
154,Ivysaur,Sludge Bomb
155,Ivysaur,Facade
156,Ivysaur,Rest
157,Ivysaur,Attract
158,Ivysaur,Round
159,Ivysaur,Echoed Voice
160,Ivysaur,Energy Ball
161,Ivysaur,Swords Dance
162,Ivysaur,Grass Knot
163,Ivysaur,Swagger
164,Ivysaur,Sleep Talk
165,Ivysaur,Substitute
166,Ivysaur,Nature Power
167,Ivysaur,Confide
168,Ivysaur,Skull Bash
169,Ivysaur,Charm
170,Ivysaur,Petal Dance
171,Ivysaur,Magical Leaf
172,Ivysaur,Grass Whistle
173,Ivysaur,Curse
174,Ivysaur,Ingrain
175,Ivysaur,Nature Power
176,Ivysaur,Amnesia
177,Ivysaur,Leaf Storm
178,Ivysaur,Power Whip
179,Ivysaur,Sludge
180,Ivysaur,Endure
181,Ivysaur,Giga Drain
182,Ivysaur,Grassy Terrain
183,Ivysaur,Grass Pledge
184,Ivysaur,Seed Bomb
185,Ivysaur,Bind
186,Ivysaur,Snore
187,Ivysaur,Knock Off
188,Ivysaur,Synthesis
189,Ivysaur,Giga Drain
190,Ivysaur,Worry Seed
191,Ivysaur,Breakneck Blitz
192,Ivysaur,Acid Downpour
193,Ivysaur,Bloom Doom
194,Ivysaur,Black Hole Eclipse
195,Ivysaur,All-Out Pummeling
196,Ivysaur,Tectonic Rage
197,Ivysaur,Savage Spin-Out
198,Ivysaur,Seed Bomb
199,Ivysaur,Flash
200,Ivysaur,Rock Smash
201,Ivysaur,Secret Power
202,Ivysaur,Cut
203,Ivysaur,Strength
204,Ivysaur,Bullet Seed
205,Ivysaur,Secret Power
206,Ivysaur,Captivate
207,Ivysaur,Natural Gift
208,Ivysaur,Fury Cutter
209,Ivysaur,Mud-slap
210,Ivysaur,String Shot
211,Ivysaur,Headbutt
212,Ivysaur,Body Slam
213,Ivysaur,Mimic
214,Ivysaur,Defense Curl
215,Ivysaur,Rage
216,Ivysaur,Mega Drain
217,Ivysaur,Reflect
218,Ivysaur,Bide
219,Ivysaur,Tackle
220,Ivysaur,Growl
221,Ivysaur,Vine Whip
222,Ivysaur,Leech Seed
223,Ivysaur,Vine Whip
224,Ivysaur,Leech Seed
225,Ivysaur,Poison Powder
226,Ivysaur,Sleep Powder
227,Ivysaur,Take Down
228,Ivysaur,Razor Leaf
229,Ivysaur,Growth
230,Ivysaur,Double-Edge
231,Ivysaur,Solar Beam
232,Ivysaur,Headbutt
233,Ivysaur,Rest
234,Ivysaur,Light Screen
235,Ivysaur,Protect
236,Ivysaur,Substitute
237,Ivysaur,Reflect
238,Ivysaur,Facade
239,Ivysaur,Toxic
240,Ivysaur,Outrage
241,Ivysaur,Solar Beam
242,Ivysaur,Sludge Bomb
243,Ivysaur,Mega Drain
244,Venusaur,Petal Dance
245,Venusaur,Tackle
246,Venusaur,Growl
247,Venusaur,Leech Seed
248,Venusaur,Vine Whip
249,Venusaur,Growl
250,Venusaur,Leech Seed
251,Venusaur,Vine Whip
252,Venusaur,Poison Powder
253,Venusaur,Sleep Powder
254,Venusaur,Take Down
255,Venusaur,Razor Leaf
256,Venusaur,Sweet Scent
257,Venusaur,Growth
258,Venusaur,Double-Edge
259,Venusaur,Worry Seed
260,Venusaur,Synthesis
261,Venusaur,Petal Blizzard
262,Venusaur,Solar Beam
263,Venusaur,Work Up
264,Venusaur,Roar
265,Venusaur,Toxic
266,Venusaur,Venoshock
267,Venusaur,Hidden Power
268,Venusaur,Sunny Day
269,Venusaur,Hyper Beam
270,Venusaur,Light Screen
271,Venusaur,Protect
272,Venusaur,Safeguard
273,Venusaur,Frustration
274,Venusaur,Solar Beam
275,Venusaur,Earthquake
276,Venusaur,Return
277,Venusaur,Double Team
278,Venusaur,Sludge Bomb
279,Venusaur,Facade
280,Venusaur,Rest
281,Venusaur,Attract
282,Venusaur,Round
283,Venusaur,Echoed Voice
284,Venusaur,Energy Ball
285,Venusaur,Giga Impact
286,Venusaur,Swords Dance
287,Venusaur,Bulldoze
288,Venusaur,Grass Knot
289,Venusaur,Swagger
290,Venusaur,Sleep Talk
291,Venusaur,Substitute
292,Venusaur,Nature Power
293,Venusaur,Confide
294,Venusaur,Skull Bash
295,Venusaur,Charm
296,Venusaur,Petal Dance
297,Venusaur,Magical Leaf
298,Venusaur,Grass Whistle
299,Venusaur,Curse
300,Venusaur,Ingrain
301,Venusaur,Nature Power
302,Venusaur,Amnesia
303,Venusaur,Leaf Storm
304,Venusaur,Power Whip
305,Venusaur,Sludge
306,Venusaur,Endure
307,Venusaur,Giga Drain
308,Venusaur,Grassy Terrain
309,Venusaur,Frenzy Plant
310,Venusaur,Grass Pledge
311,Venusaur,Seed Bomb
312,Venusaur,Block
313,Venusaur,Bind
314,Venusaur,Snore
315,Venusaur,Knock Off
316,Venusaur,Synthesis
317,Venusaur,Giga Drain
318,Venusaur,Worry Seed
319,Venusaur,Outrage
320,Venusaur,Stomping Tantrum
321,Venusaur,Breakneck Blitz
322,Venusaur,Acid Downpour
323,Venusaur,Tectonic Rage
324,Venusaur,Bloom Doom
325,Venusaur,Devastating Drake
326,Venusaur,Black Hole Eclipse
327,Venusaur,All-Out Pummeling
328,Venusaur,Tectonic Rage
329,Venusaur,Savage Spin-Out
330,Venusaur,Seed Bomb
331,Venusaur,Flash
332,Venusaur,Rock Smash
333,Venusaur,Secret Power
334,Venusaur,Cut
335,Venusaur,Strength
336,Venusaur,Bullet Seed
337,Venusaur,Secret Power
338,Venusaur,Captivate
339,Venusaur,Natural Gift
340,Venusaur,Fury Cutter
341,Venusaur,Mud-slap
342,Venusaur,String Shot
343,Venusaur,Headbutt
344,Venusaur,Body Slam
345,Venusaur,Mimic
346,Venusaur,Defense Curl
347,Venusaur,Rage
348,Venusaur,Mega Drain
349,Venusaur,Reflect
350,Venusaur,Bide
351,Venusaur,Petal Dance
352,Venusaur,Petal Dance
353,Venusaur,Amnesia
354,Venusaur,Power Whip
355,Venusaur,Tackle
356,Venusaur,Growl
357,Venusaur,Vine Whip
358,Venusaur,Leech Seed
359,Venusaur,Vine Whip
360,Venusaur,Leech Seed
361,Venusaur,Poison Powder
362,Venusaur,Sleep Powder
363,Venusaur,Take Down
364,Venusaur,Razor Leaf
365,Venusaur,Growth
366,Venusaur,Double-Edge
367,Venusaur,Solar Beam
368,Venusaur,Headbutt
369,Venusaur,Rest
370,Venusaur,Light Screen
371,Venusaur,Protect
372,Venusaur,Substitute
373,Venusaur,Reflect
374,Venusaur,Facade
375,Venusaur,Toxic
376,Venusaur,Outrage
377,Venusaur,Earthquake
378,Venusaur,Solar Beam
379,Venusaur,Hyper Beam
380,Venusaur,Sludge Bomb
381,Venusaur,Mega Drain
382,Charmander,Scratch
383,Charmander,Growl
384,Charmander,Ember
385,Charmander,Smokescreen
386,Charmander,Dragon Rage
387,Charmander,Scary Face
388,Charmander,Fire Fang
389,Charmander,Flame Burst
390,Charmander,Slash
391,Charmander,Flamethrower
392,Charmander,Fire Spin
393,Charmander,Inferno
394,Charmander,Work Up
395,Charmander,Dragon Claw
396,Charmander,Toxic
397,Charmander,Hidden Power
398,Charmander,Sunny Day
399,Charmander,Protect
400,Charmander,Frustration
401,Charmander,Return
402,Charmander,Brick Break
403,Charmander,Double Team
404,Charmander,Flamethrower
405,Charmander,Fire Blast
406,Charmander,Rock Tomb
407,Charmander,Aerial Ace
408,Charmander,Facade
409,Charmander,Flame Charge
410,Charmander,Rest
411,Charmander,Attract
412,Charmander,Round
413,Charmander,Echoed Voice
414,Charmander,Overheat
415,Charmander,Fling
416,Charmander,Will-O-Wisp
417,Charmander,Shadow Claw
418,Charmander,Swords Dance
419,Charmander,Rock Slide
420,Charmander,Swagger
421,Charmander,Sleep Talk
422,Charmander,Substitute
423,Charmander,Confide
424,Charmander,Belly Drum
425,Charmander,Ancient Power
426,Charmander,Bite
427,Charmander,Outrage
428,Charmander,Beat Up
429,Charmander,Dragon Dance
430,Charmander,Crunch
431,Charmander,Dragon Rush
432,Charmander,Metal Claw
433,Charmander,Flare Blitz
434,Charmander,Counter
435,Charmander,Dragon Pulse
436,Charmander,Focus Punch
437,Charmander,Air Cutter
438,Charmander,Fire Pledge
439,Charmander,Thunder Punch
440,Charmander,Fire Punch
441,Charmander,Dragon Pulse
442,Charmander,Iron Tail
443,Charmander,Snore
444,Charmander,Heat Wave
445,Charmander,Focus Punch
446,Charmander,Breakneck Blitz
447,Charmander,All-Out Pummeling
448,Charmander,Supersonic Skystrike
449,Charmander,Continental Crush
450,Charmander,Never-Ending Nightmare
451,Charmander,Corkscrew Crash
452,Charmander,Inferno Overdrive
453,Charmander,Gigavolt Havoc
454,Charmander,Devastating Drake
455,Charmander,Black Hole Eclipse
456,Charmander,Breakneck Blitz
457,Charmander,Tectonic Rage
458,Charmander,Savage Spin-Out
459,Charmander,Hone Claws
460,Charmander,Dig
461,Charmander,Incinerate
462,Charmander,Rock Smash
463,Charmander,Secret Power
464,Charmander,Power-up Punch
465,Charmander,Cut
466,Charmander,Strength
467,Charmander,Secret Power
468,Charmander,Endure
469,Charmander,Captivate
470,Charmander,Natural Gift
471,Charmander,Fury Cutter
472,Charmander,Swift
473,Charmander,Mud-slap
474,Charmander,Headbutt
475,Charmander,Mega Punch
476,Charmander,Mega Kick
477,Charmander,Body Slam
478,Charmander,Double-edge
479,Charmander,Seismic Toss
480,Charmander,Mimic
481,Charmander,Dynamic Punch
482,Charmander,Defense Curl
483,Charmander,Rage
484,Charmander,Curse
485,Charmander,Dragon Breath
486,Charmander,Leer
487,Charmander,Rage
488,Charmander,Take Down
489,Charmander,Submission
490,Charmander,Reflect
491,Charmander,Bide
492,Charmander,Skull Bash
493,Charmander,Scratch
494,Charmander,Growl
495,Charmander,Smokescreen
496,Charmander,Ember
497,Charmander,Fury Swipes
498,Charmander,Dragon Rage
499,Charmander,Fire Spin
500,Charmander,Slash
501,Charmander,Flamethrower
502,Charmander,Headbutt
503,Charmander,Rest
504,Charmander,Protect
505,Charmander,Substitute
506,Charmander,Reflect
507,Charmander,Dig
508,Charmander,Will-O-Wisp
509,Charmander,Facade
510,Charmander,Brick Break
511,Charmander,Seismic Toss
512,Charmander,Iron Tail
513,Charmander,Rock Slide
514,Charmander,Thunder Punch
515,Charmander,Toxic
516,Charmander,Fire Punch
517,Charmander,Dragon Pulse
518,Charmander,Flamethrower
519,Charmander,Outrage
520,Charmander,Fire Blast
521,Charmeleon,Scratch
522,Charmeleon,Growl
523,Charmeleon,Ember
524,Charmeleon,Ember
525,Charmeleon,Smokescreen
526,Charmeleon,Dragon Rage
527,Charmeleon,Scary Face
528,Charmeleon,Fire Fang
529,Charmeleon,Flame Burst
530,Charmeleon,Slash
531,Charmeleon,Flamethrower
532,Charmeleon,Fire Spin
533,Charmeleon,Inferno
534,Charmeleon,Work Up
535,Charmeleon,Dragon Claw
536,Charmeleon,Toxic
537,Charmeleon,Hidden Power
538,Charmeleon,Sunny Day
539,Charmeleon,Protect
540,Charmeleon,Frustration
541,Charmeleon,Return
542,Charmeleon,Brick Break
543,Charmeleon,Double Team
544,Charmeleon,Flamethrower
545,Charmeleon,Fire Blast
546,Charmeleon,Rock Tomb
547,Charmeleon,Aerial Ace
548,Charmeleon,Facade
549,Charmeleon,Flame Charge
550,Charmeleon,Rest
551,Charmeleon,Attract
552,Charmeleon,Round
553,Charmeleon,Echoed Voice
554,Charmeleon,Overheat
555,Charmeleon,Fling
556,Charmeleon,Will-O-Wisp
557,Charmeleon,Shadow Claw
558,Charmeleon,Swords Dance
559,Charmeleon,Rock Slide
560,Charmeleon,Swagger
561,Charmeleon,Sleep Talk
562,Charmeleon,Substitute
563,Charmeleon,Confide
564,Charmeleon,Belly Drum
565,Charmeleon,Ancient Power
566,Charmeleon,Bite
567,Charmeleon,Outrage
568,Charmeleon,Beat Up
569,Charmeleon,Dragon Dance
570,Charmeleon,Crunch
571,Charmeleon,Dragon Rush
572,Charmeleon,Metal Claw
573,Charmeleon,Flare Blitz
574,Charmeleon,Counter
575,Charmeleon,Dragon Pulse
576,Charmeleon,Focus Punch
577,Charmeleon,Air Cutter
578,Charmeleon,Fire Pledge
579,Charmeleon,Thunder Punch
580,Charmeleon,Fire Punch
581,Charmeleon,Dragon Pulse
582,Charmeleon,Iron Tail
583,Charmeleon,Snore
584,Charmeleon,Heat Wave
585,Charmeleon,Focus Punch
586,Charmeleon,Breakneck Blitz
587,Charmeleon,All-Out Pummeling
588,Charmeleon,Supersonic Skystrike
589,Charmeleon,Continental Crush
590,Charmeleon,Never-Ending Nightmare
591,Charmeleon,Corkscrew Crash
592,Charmeleon,Inferno Overdrive
593,Charmeleon,Gigavolt Havoc
594,Charmeleon,Devastating Drake
595,Charmeleon,Black Hole Eclipse
596,Charmeleon,Breakneck Blitz
597,Charmeleon,Tectonic Rage
598,Charmeleon,Savage Spin-Out
599,Charmeleon,Hone Claws
600,Charmeleon,Dig
601,Charmeleon,Incinerate
602,Charmeleon,Rock Smash
603,Charmeleon,Secret Power
604,Charmeleon,Power-up Punch
605,Charmeleon,Cut
606,Charmeleon,Strength
607,Charmeleon,Secret Power
608,Charmeleon,Endure
609,Charmeleon,Captivate
610,Charmeleon,Natural Gift
611,Charmeleon,Fury Cutter
612,Charmeleon,Swift
613,Charmeleon,Mud-slap
614,Charmeleon,Headbutt
615,Charmeleon,Mega Punch
616,Charmeleon,Mega Kick
617,Charmeleon,Body Slam
618,Charmeleon,Double-edge
619,Charmeleon,Seismic Toss
620,Charmeleon,Mimic
621,Charmeleon,Dynamic Punch
622,Charmeleon,Defense Curl
623,Charmeleon,Rage
624,Charmeleon,Curse
625,Charmeleon,Dragon Breath
626,Charmeleon,Leer
627,Charmeleon,Rage
628,Charmeleon,Take Down
629,Charmeleon,Submission
630,Charmeleon,Reflect
631,Charmeleon,Bide
632,Charmeleon,Skull Bash
633,Charmeleon,Scratch
634,Charmeleon,Growl
635,Charmeleon,Smokescreen
636,Charmeleon,Ember
637,Charmeleon,Growl
638,Charmeleon,Smokescreen
639,Charmeleon,Ember
640,Charmeleon,Fury Swipes
641,Charmeleon,Dragon Rage
642,Charmeleon,Fire Spin
643,Charmeleon,Slash
644,Charmeleon,Flamethrower
645,Charmeleon,Headbutt
646,Charmeleon,Rest
647,Charmeleon,Protect
648,Charmeleon,Substitute
649,Charmeleon,Reflect
650,Charmeleon,Dig
651,Charmeleon,Will-O-Wisp
652,Charmeleon,Facade
653,Charmeleon,Brick Break
654,Charmeleon,Seismic Toss
655,Charmeleon,Iron Tail
656,Charmeleon,Rock Slide
657,Charmeleon,Thunder Punch
658,Charmeleon,Toxic
659,Charmeleon,Fire Punch
660,Charmeleon,Dragon Pulse
661,Charmeleon,Flamethrower
662,Charmeleon,Outrage
663,Charmeleon,Fire Blast
664,Charizard,Wing Attack
665,Charizard,Flare Blitz
666,Charizard,Heat Wave
667,Charizard,Dragon Claw
668,Charizard,Shadow Claw
669,Charizard,Air Slash
670,Charizard,Scratch
671,Charizard,Growl
672,Charizard,Ember
673,Charizard,Ember
674,Charizard,Smokescreen
675,Charizard,Dragon Rage
676,Charizard,Scary Face
677,Charizard,Fire Fang
678,Charizard,Flame Burst
679,Charizard,Slash
680,Charizard,Flamethrower
681,Charizard,Fire Spin
682,Charizard,Inferno
683,Charizard,Heat Wave
684,Charizard,Flare Blitz
685,Charizard,Work Up
686,Charizard,Dragon Claw
687,Charizard,Roar
688,Charizard,Toxic
689,Charizard,Hidden Power
690,Charizard,Sunny Day
691,Charizard,Hyper Beam
692,Charizard,Protect
693,Charizard,Roost
694,Charizard,Frustration
695,Charizard,Solar Beam
696,Charizard,Earthquake
697,Charizard,Return
698,Charizard,Brick Break
699,Charizard,Double Team
700,Charizard,Flamethrower
701,Charizard,Fire Blast
702,Charizard,Rock Tomb
703,Charizard,Aerial Ace
704,Charizard,Facade
705,Charizard,Flame Charge
706,Charizard,Rest
707,Charizard,Attract
708,Charizard,Round
709,Charizard,Echoed Voice
710,Charizard,Overheat
711,Charizard,Steel Wing
712,Charizard,Focus Blast
713,Charizard,Fling
714,Charizard,Sky Drop
715,Charizard,Brutal Swing
716,Charizard,Will-O-Wisp
717,Charizard,Shadow Claw
718,Charizard,Giga Impact
719,Charizard,Swords Dance
720,Charizard,Fly
721,Charizard,Bulldoze
722,Charizard,Rock Slide
723,Charizard,Dragon Tail
724,Charizard,Swagger
725,Charizard,Sleep Talk
726,Charizard,Substitute
727,Charizard,Confide
728,Charizard,Belly Drum
729,Charizard,Ancient Power
730,Charizard,Bite
731,Charizard,Outrage
732,Charizard,Beat Up
733,Charizard,Dragon Dance
734,Charizard,Crunch
735,Charizard,Dragon Rush
736,Charizard,Metal Claw
737,Charizard,Flare Blitz
738,Charizard,Counter
739,Charizard,Dragon Pulse
740,Charizard,Focus Punch
741,Charizard,Air Cutter
742,Charizard,Blast Burn
743,Charizard,Fire Pledge
744,Charizard,Thunder Punch
745,Charizard,Fire Punch
746,Charizard,Dragon Pulse
747,Charizard,Iron Tail
748,Charizard,Snore
749,Charizard,Heat Wave
750,Charizard,Tailwind
751,Charizard,Focus Punch
752,Charizard,Outrage
753,Charizard,Defog
754,Charizard,Seismic Toss
755,Charizard,Breakneck Blitz
756,Charizard,All-Out Pummeling
757,Charizard,Supersonic Skystrike
758,Charizard,Tectonic Rage
759,Charizard,Continental Crush
760,Charizard,Never-Ending Nightmare
761,Charizard,Corkscrew Crash
762,Charizard,Inferno Overdrive
763,Charizard,Bloom Doom
764,Charizard,Gigavolt Havoc
765,Charizard,Devastating Drake
766,Charizard,Black Hole Eclipse
767,Charizard,Tectonic Rage
768,Charizard,Savage Spin-Out
769,Charizard,Never-Ending Nightmare
770,Charizard,Hone Claws
771,Charizard,Dig
772,Charizard,Incinerate
773,Charizard,Rock Smash
774,Charizard,Secret Power
775,Charizard,Power-up Punch
776,Charizard,Cut
777,Charizard,Strength
778,Charizard,Secret Power
779,Charizard,Endure
780,Charizard,Captivate
781,Charizard,Natural Gift
782,Charizard,Fury Cutter
783,Charizard,Ominous Wind
784,Charizard,Swift
785,Charizard,Mud-slap
786,Charizard,Twister
787,Charizard,Headbutt
788,Charizard,Mega Punch
789,Charizard,Mega Kick
790,Charizard,Body Slam
791,Charizard,Double-edge
792,Charizard,Seismic Toss
793,Charizard,Mimic
794,Charizard,Dynamic Punch
795,Charizard,Defense Curl
796,Charizard,Rage
797,Charizard,Curse
798,Charizard,Dragon Breath
799,Charizard,Sandstorm
800,Charizard,Leer
801,Charizard,Rage
802,Charizard,Take Down
803,Charizard,Submission
804,Charizard,Fissure
805,Charizard,Reflect
806,Charizard,Bide
807,Charizard,Skull Bash
808,Charizard,Wing Attack
809,Charizard,Wing Attack
810,Charizard,Counter
811,Charizard,Crunch
812,Charizard,Heat Wave
813,Charizard,Scratch
814,Charizard,Growl
815,Charizard,Smokescreen
816,Charizard,Ember
817,Charizard,Growl
818,Charizard,Smokescreen
819,Charizard,Ember
820,Charizard,Fury Swipes
821,Charizard,Dragon Rage
822,Charizard,Fire Spin
823,Charizard,Slash
824,Charizard,Flamethrower
825,Charizard,Air Slash
826,Charizard,Flare Blitz
827,Charizard,Headbutt
828,Charizard,Rest
829,Charizard,Protect
830,Charizard,Substitute
831,Charizard,Reflect
832,Charizard,Dig
833,Charizard,Will-O-Wisp
834,Charizard,Facade
835,Charizard,Brick Break
836,Charizard,Fly
837,Charizard,Seismic Toss
838,Charizard,Dragon Tail
839,Charizard,Iron Tail
840,Charizard,Rock Slide
841,Charizard,Thunder Punch
842,Charizard,Toxic
843,Charizard,Fire Punch
844,Charizard,Dragon Pulse
845,Charizard,Flamethrower
846,Charizard,Outrage
847,Charizard,Earthquake
848,Charizard,Solar Beam
849,Charizard,Fire Blast
850,Charizard,Hyper Beam
851,Charizard,Roost
852,Squirtle,Tackle
853,Squirtle,Tail Whip
854,Squirtle,Water Gun
855,Squirtle,Withdraw
856,Squirtle,Bubble
857,Squirtle,Bite
858,Squirtle,Rapid Spin
859,Squirtle,Protect
860,Squirtle,Water Pulse
861,Squirtle,Aqua Tail
862,Squirtle,Skull Bash
863,Squirtle,Iron Defense
864,Squirtle,Rain Dance
865,Squirtle,Hydro Pump
866,Squirtle,Work Up
867,Squirtle,Toxic
868,Squirtle,Hail
869,Squirtle,Hidden Power
870,Squirtle,Ice Beam
871,Squirtle,Blizzard
872,Squirtle,Protect
873,Squirtle,Rain Dance
874,Squirtle,Frustration
875,Squirtle,Return
876,Squirtle,Brick Break
877,Squirtle,Double Team
878,Squirtle,Rock Tomb
879,Squirtle,Facade
880,Squirtle,Rest
881,Squirtle,Attract
882,Squirtle,Round
883,Squirtle,Scald
884,Squirtle,Fling
885,Squirtle,Gyro Ball
886,Squirtle,Swagger
887,Squirtle,Sleep Talk
888,Squirtle,Substitute
889,Squirtle,Surf
890,Squirtle,Waterfall
891,Squirtle,Confide
892,Squirtle,Mirror Coat
893,Squirtle,Haze
894,Squirtle,Mist
895,Squirtle,Foresight
896,Squirtle,Flail
897,Squirtle,Refresh
898,Squirtle,Mud Sport
899,Squirtle,Yawn
900,Squirtle,Muddy Water
901,Squirtle,Fake Out
902,Squirtle,Aqua Ring
903,Squirtle,Aqua Jet
904,Squirtle,Water Spout
905,Squirtle,Brine
906,Squirtle,Dragon Pulse
907,Squirtle,Aura Sphere
908,Squirtle,Water Pledge
909,Squirtle,Ice Punch
910,Squirtle,Iron Defense
911,Squirtle,Icy Wind
912,Squirtle,Aqua Tail
913,Squirtle,Zen Headbutt
914,Squirtle,Dragon Pulse
915,Squirtle,Iron Tail
916,Squirtle,Snore
917,Squirtle,Focus Punch
918,Squirtle,Water Pulse
919,Squirtle,Breakneck Blitz
920,Squirtle,All-Out Pummeling
921,Squirtle,Continental Crush
922,Squirtle,Corkscrew Crash
923,Squirtle,Hydro Vortex
924,Squirtle,Shattered Psyche
925,Squirtle,Subzero Slammer
926,Squirtle,Devastating Drake
927,Squirtle,Black Hole Eclipse
928,Squirtle,Tectonic Rage
929,Squirtle,Dig
930,Squirtle,Rock Smash
931,Squirtle,Secret Power
932,Squirtle,Power-up Punch
933,Squirtle,Strength
934,Squirtle,Dive
935,Squirtle,Secret Power
936,Squirtle,Endure
937,Squirtle,Captivate
938,Squirtle,Natural Gift
939,Squirtle,Whirlpool
940,Squirtle,Mud-slap
941,Squirtle,Rollout
942,Squirtle,Headbutt
943,Squirtle,Mega Punch
944,Squirtle,Mega Kick
945,Squirtle,Body Slam
946,Squirtle,Double-edge
947,Squirtle,Counter
948,Squirtle,Seismic Toss
949,Squirtle,Mimic
950,Squirtle,Dynamic Punch
951,Squirtle,Defense Curl
952,Squirtle,Curse
953,Squirtle,Take Down
954,Squirtle,Bubble Beam
955,Squirtle,Submission
956,Squirtle,Rage
957,Squirtle,Reflect
958,Squirtle,Bide
959,Squirtle,Tackle
960,Squirtle,Tail Whip
961,Squirtle,Bubble
