,name,moves
11,Metapod,[]
12,Butterfree,[]
13,Weedle,"['Poison Sting', 'String Shot', 'Electroweb', 'Electroweb ']"
14,Kakuna,"['Poison Sting', 'String Shot', 'Harden', 'Iron Defense', 'Electroweb', 'Electroweb ']"
15,Beedrill,"['Pin Missile', 'Poison Sting', 'String Shot', 'Harden', 'Focus Energy', 'Brutal Swing', 'X-Scissor', 'Bug Buzz', 'Toxic Spikes', 'Lunge', 'Poison Jab', 'Drill Run', 'Rock Smash', 'Toxic', 'Brick Break', 'Protect', 'Aerial Ace', 'Swords Dance', 'Endure', 'Giga Drain', 'Hyper Beam', 'Agility', 'Sludge Bomb', 'Giga Impact', 'Solar Beam', 'Poison Jab', 'Iron Defense', 'X-Scissor', 'U-turn', 'Substitute', 'Toxic Spikes', 'Outrage', 'Electroweb', 'Outrage ']"
16,Pidgey,"['Tackle', 'Growl', 'Gust', 'Quick Attack', 'Twister', 'Wing Attack', 'Whirlwind', 'Agility', 'Air Slash', 'Feather Dance', 'Hurricane', 'Brave Bird', 'Headbutt', 'Protect', 'Aerial Ace', 'Reflect', 'Double Team', 'Endure', 'Fly', 'Agility', 'Heat Wave', 'Hurricane', 'U-turn', 'Substitute', 'Whirlwind', 'Work Up', 'U-turn ']"
17,Pidgeotto,"['Tackle', 'Growl', 'Gust', 'Quick Attack', 'Twister', 'Wing Attack', 'Whirlwind', 'Agility', 'Air Slash', 'Feather Dance', 'Hurricane', 'Brave Bird', 'Headbutt', 'Protect', 'Aerial Ace', 'Reflect', 'Double Team', 'Endure', 'Fly', 'Agility', 'Heat Wave', 'Hurricane', 'U-turn', 'Substitute', 'Whirlwind', 'Work Up', 'Heat Wave ']"
18,Pidgeot,"['Tackle', 'Growl', 'Gust', 'Quick Attack', 'Twister', 'Wing Attack', 'Whirlwind', 'Agility', 'Air Slash', 'Feather Dance', 'Hurricane', 'Brave Bird', 'Headbutt', 'Protect', 'Aerial Ace', 'Reflect', 'Double Team', 'Endure', 'Fly', 'Hyper Beam', 'Agility', 'Giga Impact', 'Heat Wave', 'Hurricane', 'U-turn', 'Substitute', 'Whirlwind', 'Work Up', 'Heat Wave ']"
19,Rattata,[]
20,Raticate,[]
21,Spearow,[]
22,Fearow,[]
23,Ekans,"['Tackle', 'Leer', 'Poison Sting', 'Bite', 'Glare', 'Brutal Swing', 'Screech', 'Toxic', 'Leech Life', 'Poison Jab', 'Haze', 'Gunk Shot', 'Toxic', 'Rock Slide', 'Fire Fang', 'Ice Fang', 'Protect', 'Thunder Fang', 'Dig', 'Body Slam', 'Endure', 'Rock Tomb', 'Giga Drain', 'Knock Off', 'Mud Shot', 'Sludge Bomb', 'Earthquake', 'Poison Jab', 'Bulldoze', 'Substitute', 'Iron Tail', 'Dark Pulse', 'Gunk Shot', 'Dark Pulse ', 'Wrap', 'Leer', 'Poison Sting', 'Bite', 'Glare', 'Screech', 'Acid', 'Swallow', 'Stockpile', 'Spit Up', 'Acid Spray', 'Sludge Bomb', 'Gastro Acid', 'Belch', 'Haze', 'Coil', 'Gunk Shot', 'Take Down', 'Mud-Slap', 'Scary Face', 'Protect', 'Fire Fang', 'Acid Spray', 'Thief', 'Trailblaze', 'Facade', 'Poison Tail', 'Snarl', 'Mud Shot', 'Rock Tomb', 'Venoshock', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Psychic Fangs', 'Sleep Talk', 'Seed Bomb', 'Poison Jab', 'Rest', 'Rock Slide', 'Toxic Spikes', 'Dark Pulse', 'Leech Life', 'Gunk Shot', 'Substitute', 'Crunch', 'Giga Drain', 'Sludge Bomb', 'Earthquake', 'Tera Blast', 'Haze', 'Toxic', 'Spite', 'Knock Off', 'Lash Out', 'Scale Shot', 'Double-Edge', 'Sludge Wave', 'Skitter Smack', 'Spite', 'Scary Face', 'Poison Fang', 'Poison Tail', 'Sucker Punch', 'Switcheroo']"
24,Arbok,"['Crunch', 'Tackle', 'Leer', 'Poison Sting', 'Bite', 'Glare', 'Brutal Swing', 'Screech', 'Toxic', 'Leech Life', 'Poison Jab', 'Haze', 'Gunk Shot', 'Toxic', 'Rock Slide', 'Fire Fang', 'Ice Fang', 'Protect', 'Thunder Fang', 'Crunch', 'Dig', 'Body Slam', 'Endure', 'Rock Tomb', 'Giga Drain', 'Hyper Beam', 'Knock Off', 'Mud Shot', 'Sludge Bomb', 'Giga Impact', 'Double-Edge', 'Earthquake', 'Poison Jab', 'Bulldoze', 'Substitute', 'Iron Tail', 'Dark Pulse', 'Gunk Shot', 'Earthquake ', 'Crunch', 'Wrap', 'Poison Sting', 'Leer', 'Bite', 'Fire Fang', 'Ice Fang', 'Thunder Fang', 'Glare', 'Screech', 'Acid', 'Swallow', 'Stockpile', 'Spit Up', 'Acid Spray', 'Sludge Bomb', 'Gastro Acid', 'Belch', 'Haze', 'Coil', 'Gunk Shot', 'Take Down', 'Mud-Slap', 'Scary Face', 'Protect', 'Fire Fang', 'Thunder Fang', 'Ice Fang', 'Acid Spray', 'Thief', 'Trailblaze', 'Facade', 'Poison Tail', 'Bulldoze', 'Snarl', 'Mud Shot', 'Rock Tomb', 'Dragon Tail', 'Venoshock', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Psychic Fangs', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Toxic Spikes', 'Dark Pulse', 'Leech Life', 'Gunk Shot', 'Substitute', 'Crunch', 'Giga Drain', 'Sludge Bomb', 'Earthquake', 'Giga Impact', 'Hyper Beam', 'Tera Blast', 'Haze', 'Toxic', 'Spite', 'Knock Off', 'Lash Out', 'Scale Shot', 'Pain Split', 'Double-Edge', 'Sludge Wave', 'Skitter Smack', 'Throat Chop', 'Breaking Swipe', 'Spite', 'Scary Face', 'Poison Fang', 'Poison Tail', 'Sucker Punch', 'Switcheroo']"
25,Pikachu,"['Tail Whip', 'Growl', 'Thunder Shock', 'Quick Attack', 'Thunder Wave', 'Nuzzle', 'Spark', 'Charm', 'Thunderbolt', 'Charge', 'Light Screen', 'Thunder', 'Volt Tackle', 'Thunder Wave', 'Brick Break', 'Light Screen', 'Protect', 'Play Rough', 'Thunder Punch', 'Swift', 'Dig', 'Reflect', 'Double Team', 'Body Slam', 'Endure', 'Discharge', 'Agility', 'Volt Switch', 'Thunderbolt', 'Surf', 'Nasty Plot', 'Substitute', 'Wild Charge', 'Iron Tail', 'Electroweb', 'Thunder', 'Iron Tail ', 'Nuzzle', 'Nasty Plot', 'Charm', 'Sweet Kiss', 'Play Nice', 'Quick Attack', 'Tail Whip', 'Thunder Shock', 'Growl', 'Thunder Wave', 'Double Team', 'Electro Ball', 'Feint', 'Spark', 'Agility', 'Iron Tail', 'Discharge', 'Thunderbolt', 'Light Screen', 'Thunder', 'Take Down', 'Charm', 'Fake Tears', 'Agility', 'Protect', 'Thief', 'Disarming Voice', 'Trailblaze', 'Charge Beam', 'Facade', 'Swift', 'Draining Kiss', 'Fling', 'Endure', 'Volt Switch', 'Rain Dance', 'Dig', 'Brick Break', 'Body Slam', 'Thunder Punch', 'Sleep Talk', 'Electro Ball', 'Reflect', 'Light Screen', 'Grass Knot', 'Thunder Wave', 'Rest', 'Eerie Impulse', 'Substitute', 'Encore', 'Surf', 'Thunderbolt', 'Play Rough', 'Helping Hand', 'Reversal', 'Electric Terrain', 'Nasty Plot', 'Wild Charge', 'Thunder', 'Tera Blast', 'Charge', 'Knock Off', 'Focus Punch', 'Endeavor', 'Electroweb', 'Alluring Voice', 'Upper Hand', 'Flail', 'Present', 'Fake Out', 'Charge', 'Wish', 'Tickle', 'Disarming Voice', 'Volt Tackle', 'Fly', 'Celebrate']"
26,Raichu,"['Thunder Punch', 'Eerie Impulse', 'Tail Whip', 'Growl', 'Thunder Shock', 'Quick Attack', 'Thunder Wave', 'Nuzzle', 'Spark', 'Charm', 'Thunderbolt', 'Charge', 'Light Screen', 'Thunder', 'Volt Tackle', 'Psychic', 'Eerie Impulse', 'Tail Whip', 'Growl', 'Thunder Shock', 'Quick Attack', 'Thunder Wave', 'Nuzzle', 'Spark', 'Charm', 'Thunderbolt', 'Charge', 'Light Screen', 'Thunder', 'Volt Tackle', 'Psyshock', 'Calm Mind', 'Thunder Wave', 'Brick Break', 'Light Screen', 'Protect', 'Play Rough', 'Thunder Punch', 'Swift', 'Dig', 'Reflect', 'Double Team', 'Body Slam', 'Endure', 'Discharge', 'Hyper Beam', 'Agility', 'Giga Impact', 'Psychic', 'Volt Switch', 'Thunderbolt', 'Surf', 'Nasty Plot', 'Substitute', 'Wild Charge', 'Iron Tail', 'Electroweb', 'Thunder', 'Play Rough ', 'Thunder Punch', 'Electro Ball', 'Discharge', 'Nasty Plot', 'Feint', 'Iron Tail', 'Spark', 'Charm', 'Sweet Kiss', 'Play Nice', 'Nuzzle', 'Quick Attack', 'Agility', 'Thunder', 'Thunder Wave', 'Thunder Shock', 'Growl', 'Tail Whip', 'Double Team', 'Light Screen', 'Thunderbolt', 'Psychic', 'Nuzzle', 'Electro Ball', 'Discharge', 'Nasty Plot', 'Feint', 'Iron Tail', 'Spark', 'Charm', 'Sweet Kiss', 'Light Screen', 'Double Team', 'Quick Attack', 'Agility', 'Thunder', 'Thunder Wave', 'Thunder Shock', 'Growl', 'Play Nice', 'Tail Whip', 'Thunderbolt', 'Take Down', 'Charm', 'Fake Tears', 'Agility', 'Protect', 'Thief', 'Disarming Voice', 'Trailblaze', 'Charge Beam', 'Facade', 'Swift', 'Draining Kiss', 'Stored Power', 'Fling', 'Endure', 'Volt Switch', 'Rain Dance', 'Psyshock', 'Dig', 'Brick Break', 'Body Slam', 'Thunder Punch', 'Sleep Talk', 'Electro Ball', 'Reflect', 'Light Screen', 'Grass Knot', 'Thunder Wave', 'Rest', 'Eerie Impulse', 'Skill Swap', 'Substitute', 'Psychic', 'Encore', 'Surf', 'Thunderbolt', 'Play Rough', 'Calm Mind', 'Helping Hand', 'Reversal', 'Electric Terrain', 'Psychic Terrain', 'Nasty Plot', 'Wild Charge', 'Giga Impact', 'Focus Blast', 'Hyper Beam', 'Thunder', 'Tera Blast', 'Charge', 'Knock Off', 'Focus Punch', 'Endeavor', 'Electroweb', 'Expanding Force', 'Alluring Voice', 'Psychic Noise', 'Upper Hand', 'Flail', 'Present', 'Fake Out', 'Charge', 'Wish', 'Tickle', 'Disarming Voice', 'Volt Tackle', 'Fly', 'Celebrate']"
