,name,type,category,power,accuracy,pp,description,probability%
53,Behemoth Bash,Steel,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Damage doubles if target is Dynamaxed.</td>","<td class=""cell-num"">—</td>"
54,Behemoth Blade,Steel,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Damage doubles if target is Dynamaxed.</td>","<td class=""cell-num"">—</td>"
55,Belch,Poison,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User must have consumed a Berry.</td>","<td class=""cell-num"">—</td>"
56,Belly Drum,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User loses 50% of its max HP, but Attack raises to maximum.</td>","<td class=""cell-num"">—</td>"
57,Bestow,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Gives the user's held item to the target.</td>","<td class=""cell-num"">—</td>"
58,Bide,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User takes damage for two turns then strikes back double.</td>","<td class=""cell-num"">—</td>"
59,Bind,Normal,Physical,"<td class=""cell-num"">15</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
60,Bite,Dark,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
61,Bitter Blade,Fire,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
62,Bitter Malice,Ghost,Special,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers opponent's Attack.</td>","<td class=""cell-num"">—</td>"
63,Black Hole Eclipse,Dark,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Dark type Z-Move.</td>","<td class=""cell-num"">—</td>"
64,Blast Burn,Fire,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User must recharge next turn.</td>","<td class=""cell-num"">—</td>"
65,Blaze Kick,Fire,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">High critical hit ratio. May burn opponent.</td>","<td class=""cell-num"">10</td>"
66,Blazing Torque,Fire,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May burn the opponent.</td>","<td class=""cell-num"">—</td>"
67,Bleakwind Storm,Flying,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Speed.</td>","<td class=""cell-num"">—</td>"
68,Blizzard,Ice,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">70</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May freeze opponent.</td>","<td class=""cell-num"">10</td>"
69,Block,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Opponent cannot flee or switch.</td>","<td class=""cell-num"">—</td>"
70,Blood Moon,Normal,Special,"<td class=""cell-num"">140</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Cannot be used twice in a row.</td>","<td class=""cell-num"">—</td>"
71,Bloom Doom,Grass,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Grass type Z-Move.</td>","<td class=""cell-num"">—</td>"
72,Blue Flare,Fire,Special,"<td class=""cell-num"">130</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">20</td>"
73,Body Press,Fighting,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The higher the user's Defense, the stronger the attack.</td>","<td class=""cell-num"">—</td>"
74,Body Slam,Normal,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
75,Bolt Beak,Electric,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">If the user attacks before the target, the power of this move is doubled.</td>","<td class=""cell-num"">—</td>"
76,Bolt Strike,Electric,Physical,"<td class=""cell-num"">130</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">20</td>"
77,Bone Club,Ground,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">10</td>"
78,Bone Rush,Ground,Physical,"<td class=""cell-num"">25</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
79,Bonemerang,Ground,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits twice in one turn.</td>","<td class=""cell-num"">—</td>"
80,Boomburst,Normal,Special,"<td class=""cell-num"">140</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits all adjacent Pokémon.</td>","<td class=""cell-num"">—</td>"
81,Bounce,Flying,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Springs up on first turn, attacks on second. May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
82,Bouncy Bubble,Water,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
83,Branch Poke,Grass,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
84,Brave Bird,Flying,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
85,Breaking Swipe,Dragon,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits multiple opponents and lowers their attack.</td>","<td class=""cell-num"">100</td>"
86,Breakneck Blitz,Normal,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Normal type Z-Move.</td>","<td class=""cell-num"">—</td>"
87,Brick Break,Fighting,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Breaks through Reflect and Light Screen barriers.</td>","<td class=""cell-num"">—</td>"
88,Brine,Water,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power doubles if opponent's HP is less than 50%.</td>","<td class=""cell-num"">—</td>"
89,Brutal Swing,Dark,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">The user swings its body around violently to inflict damage on everything in its vicinity.</td>","<td class=""cell-num"">—</td>"
90,Bubble,Water,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">May lower opponent's Speed.</td>","<td class=""cell-num"">10</td>"
91,Bubble Beam,Water,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May lower opponent's Speed.</td>","<td class=""cell-num"">10</td>"
92,Bug Bite,Bug,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Receives the effect from the opponent's held berry.</td>","<td class=""cell-num"">—</td>"
93,Bug Buzz,Bug,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">10</td>"
94,Bulk Up,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Attack and Defense.</td>","<td class=""cell-num"">—</td>"
95,Bulldoze,Ground,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Speed.</td>","<td class=""cell-num"">100</td>"
96,Bullet Punch,Steel,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
97,Bullet Seed,Grass,Physical,"<td class=""cell-num"">25</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
98,Burn Up,Fire,Special,"<td class=""cell-num"">130</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.</td>","<td class=""cell-num"">—</td>"
99,Burning Bulwark,Fire,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
100,Burning Jealousy,Fire,Special,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Hits all opponents, and burns any that have had their stats boosted.</td>","<td class=""cell-num"">—</td>"
101,Buzzy Buzz,Electric,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Paralyzes the opponent.</td>","<td class=""cell-num"">100</td>"
102,Calm Mind,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Special Attack and Special Defense.</td>","<td class=""cell-num"">—</td>"
103,Camouflage,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Changes user's type according to the location.</td>","<td class=""cell-num"">—</td>"
104,Captivate,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply lowers opponent's Special Attack if opposite gender.</td>","<td class=""cell-num"">—</td>"
105,Catastropika,Electric,Physical,"<td class=""cell-num"">210</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Pikachu-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
106,Ceaseless Edge,Dark,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Sets up Spikes.</td>","<td class=""cell-num"">—</td>"
107,Celebrate,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">The Pokémon congratulates you on your special day. No battle effect.</td>","<td class=""cell-num"">—</td>"
108,Charge,Electric,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Special Defense and next Electric move's power increases.</td>","<td class=""cell-num"">—</td>"
109,Charge Beam,Electric,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May raise user's Special Attack.</td>","<td class=""cell-num"">70</td>"
110,Charm,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply lowers opponent's Attack.</td>","<td class=""cell-num"">—</td>"
111,Chatter,Flying,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Confuses opponent.</td>","<td class=""cell-num"">100</td>"
112,Chilling Water,Water,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Attack.</td>","<td class=""cell-num"">—</td>"
113,Chilly Reception,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Switches out and summons a snowstorm lasting 5 turns.</td>","<td class=""cell-num"">—</td>"
114,Chip Away,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores opponent's stat changes.</td>","<td class=""cell-num"">—</td>"
115,Chloroblast,Grass,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
116,Circle Throw,Fighting,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">In battles, the opponent switches. In the wild, the Pokémon runs.</td>","<td class=""cell-num"">—</td>"
117,Clamp,Water,Physical,"<td class=""cell-num"">35</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
118,Clanging Scales,Dragon,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense.</td>","<td class=""cell-num"">100</td>"
119,Clangorous Soul,Dragon,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Raises all user's stats but loses HP.</td>","<td class=""cell-num"">100</td>"
120,Clangorous Soulblaze,Dragon,Special,"<td class=""cell-num"">185</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Kommo-o exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
121,Clear Smog,Poison,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Removes all of the target's stat changes.</td>","<td class=""cell-num"">—</td>"
